,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
27,0.28789496421813965,0.05644234746212548,0.001314687728881836,5.3976070721235196e-05,0.1,"(50,)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 26}",0.9055269146343918,0.8963961235614781,0.910498687664042,0.9093074904098525,0.8958954089388872,0.9035279161925673,0.006245390420916765,288,0.9090911961601617,0.9008548896595907,0.9234906889924672,0.9148445956394,0.9241637326163826,0.9144890206136005,0.008829298445970307
28,0.3479144096374512,0.08813056334904042,0.0013196945190429687,0.00011005597881371876,0.1,"(50,)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 29}",0.9251112632660047,0.9161720169594185,0.9105895416919039,0.9348980415909549,0.8828620654707611,0.913939706664689,0.017577122352216673,157,0.928623531640773,0.9148445956394001,0.9289580065828713,0.9356093573968941,0.9140708938849014,0.924421277028968,0.008511841855358266
29,0.37534546852111816,0.16977120535946522,0.001338624954223633,4.664276692509692e-05,0.1,"(50,)",32,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 32}",0.9205852145719636,0.924550777306683,0.9138400969109629,0.8803755299818291,0.8886845039018951,0.90561713158767,0.017742032718245752,270,0.9340959328028293,0.9194260973292983,0.9394530473392388,0.8774304711833706,0.9304362108884371,0.9201683519086348,0.022353448531231397
30,0.2773141860961914,0.06598730952903327,0.0013069629669189454,3.1708201037301087e-05,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 35}",0.9218639869504802,0.9043609933373714,0.9085301837270342,0.9257419745608723,0.8689216580520926,0.9059002010426193,0.020117203853394012,261,0.9333064923582164,0.9063222072499945,0.9109037089398928,0.9277761823764608,0.9065171856320653,0.9169651553113258,0.011340997739633502
31,0.3302718162536621,0.05057113614960856,0.0013425350189208984,3.312662931527551e-05,0.1,"(50,)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 38}",0.9106420041484583,0.9272965879265093,0.9039067231980618,0.9139309509388248,0.886013986013986,0.9083656988980049,0.013514776797125561,239,0.9217806618668688,0.9321610815348252,0.9134904680907464,0.919081490644812,0.910305704499942,0.9193638813274388,0.007566193974628029
32,0.2753713607788086,0.03977175585349741,0.001327371597290039,2.1476525395350218e-05,0.1,"(50,)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 41}",0.9165475159594819,0.9173632142136079,0.9066525338178879,0.9190591560670298,0.8819550015202189,0.9083262273325517,0.013868816483110252,240,0.90579133510168,0.9263734564492259,0.9321610815348252,0.9213722414897613,0.9097669195498544,0.9190930068250693,0.009928593138084744
33,0.3538015365600586,0.07660754695757317,0.0013710975646972657,9.488908488544072e-05,0.1,"(50,)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 44}",0.9206859053104295,0.8970825762164345,0.9229053099131839,0.9309610337169392,0.9201986419377722,0.9183668447429806,0.011322261366211157,90,0.9317576102058862,0.9029004395944245,0.9367425832247233,0.934131524884579,0.9397166161404712,0.9290497548100168,0.013340952693427275
34,0.32613520622253417,0.07811093319553271,0.0014002323150634766,7.275400660775131e-05,0.1,"(50,)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 47}",0.9264907263829872,0.920704623460529,0.9203412073490812,0.8980920654149,0.8925306577480491,0.9116424026762754,0.01361551597387838,188,0.9379657698623215,0.9206344297422079,0.9419646999050125,0.907431133888533,0.9287413554807891,0.9273474777757729,0.012410318065247826
35,0.2896893978118896,0.09553084476838618,0.0013596534729003907,7.327567641244413e-05,0.1,"(50,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 50}",0.923933181625954,0.9043609933373714,0.917090652130022,0.8973147587320814,0.8866018039931084,0.9058718715592456,0.01340779121656431,262,0.9365116205633448,0.911767434668316,0.941988999094303,0.8980472287879123,0.9228591731526833,0.9222348912533119,0.016056463914412882
36,0.3031319618225098,0.04468529474064375,0.0014721870422363282,0.00012658687563847775,0.1,"(50,)",53,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 53}",0.9134009303824234,0.9337068443367658,0.9209368059761761,0.9315566323440339,0.899741562785041,0.9198727972045145,0.012454817386516685,59,0.9197865353037767,0.9375312023680665,0.9391327398440434,0.9334666107048974,0.9310534963959101,0.9321941169233388,0.006833700408092879
