,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
47,0.5384761810302734,0.05476352547617529,0.006573963165283203,0.00020333906438734674,0.1,"(25,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 15}",0.8708842660652073,0.9017060367454068,0.9191500100948917,0.924278215223097,0.8940255396777135,0.9020016268303277,0.019098239134631975,196,0.8711775293671846,0.9012237955333672,0.9122578364885463,0.910435397291745,0.9153202822741328,0.9020829681909952,0.01615179140181738
48,0.5924674034118652,0.0962959064423827,0.006716251373291016,0.00017441755543320397,0.1,"(25,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 20}",0.9171365567795073,0.922582273369675,0.8986876640419945,0.9250555219059154,0.8972838755447451,0.9121553437573224,0.011850586618075235,159,0.9051029430339775,0.9264463540170976,0.9062979080607038,0.9221851598223949,0.915695760843796,0.9151456251555941,0.008446321476107741
49,0.6194367408752441,0.042672718336989005,0.006786632537841797,0.0001389568768487894,0.1,"(25,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 25}",0.9270797672030126,0.9213002220876236,0.9157177468201089,0.9275287704421562,0.8926370730718557,0.9168634124138119,0.012847473109362025,108,0.9263625742074019,0.9268903664759549,0.9232940864609335,0.9230223773443195,0.9258119290581952,0.925076266709361,0.0016050776925669614
50,0.5420481204986572,0.03001811554188448,0.006690073013305664,0.00018678493619723405,0.1,"(25,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 30}",0.9211742553919892,0.9162628709872805,0.9005653139511406,0.9131536442560063,0.899741562785041,0.9101861855900079,0.008580664277142335,170,0.9294666540356196,0.9237358899025824,0.9079480439152623,0.906001899754799,0.9125245274833919,0.9159354030183311,0.00914383742382894
51,0.5478838443756103,0.06305705307419451,0.006876754760742188,0.00032010620043846543,0.1,"(25,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 35}",0.9029693698773587,0.927801332525742,0.9117807389460931,0.9217141126589944,0.9050825985608595,0.9138689742316098,0.009550747630282425,135,0.9162135278514589,0.935264750712408,0.9284167973668515,0.9255097307208023,0.9219215801500149,0.9254652773603071,0.006370177129743435
52,0.4782198429107666,0.025819805199337378,0.006865787506103516,6.904519723433009e-05,0.1,"(25,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 40}",0.9129125803008639,0.8972642842721583,0.9051887744801128,0.9093074904098525,0.9115992702949224,0.9072548878118322,0.00564265365791108,184,0.9143851837817356,0.9140559764960571,0.918219973933597,0.9017893039386777,0.9221952286793746,0.9141291333658884,0.006843086645547732
53,0.5878520965576172,0.10549801452328852,0.007071113586425782,0.00014188670842519782,0.1,"(25,)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 45}",0.91467970276094,0.9331112457096709,0.9144356955380577,0.9158994548758328,0.8958954089388872,0.9148101351962995,0.011776976167570292,131,0.908254389288872,0.9435662373809892,0.936422275729528,0.9219134507057811,0.915695760843796,0.9251704227897933,0.013050206623669425
54,0.5133516788482666,0.05094014795960904,0.007533359527587891,0.0010609574307086976,0.1,"(25,)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 50}",0.9154701250578969,0.9057338986472845,0.9190591560670298,0.8990510801534422,0.8947197729806426,0.906813250789979,0.009300122975058639,185,0.9228606163950992,0.9192294947977644,0.9310764540855773,0.905014469062714,0.9080083809591065,0.9172378830600522,0.009609196160772533
55,0.5896588325500488,0.06055494236554169,0.006961011886596679,0.00011567686173645569,0.1,"(25,)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 55}",0.9165475159594819,0.9240460327074501,0.917090652130022,0.9354936402180496,0.9130941522245868,0.9212554711211278,0.007956901012393021,74,0.9091385625868385,0.939698248249354,0.937924407431134,0.9299432282577482,0.940083582601502,0.9313576058253152,0.011700583031724093
56,0.5317765712738037,0.04581076657740346,0.0074573993682861325,0.0009288589761333529,0.1,"(25,)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'filter__n': 60}",0.9297380026985117,0.9089844538663436,0.903311124570967,0.9106803957197658,0.8998479781088478,0.9105216736092194,0.010372770352536531,168,0.9387015283567008,0.9140316773067663,0.9134396606949569,0.9113212131922506,0.9266476920205602,0.9208283543142469,0.010435404982551237
