,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
145,0.2682657718658447,0.025457963955679865,0.001364421844482422,0.00019460269492231342,0.01,"(25,)",30,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 30}",0.5348440300461164,0.6328487785180699,0.5606097314758731,0.4999999999999999,0.5273994121820208,0.5511427024375416,0.04518851887387698,195,0.5349216875078944,0.6126554595860302,0.5761271510305065,0.5016501358545583,0.5207922440188251,0.549229335599563,0.0400587640816967
146,0.2807306289672852,0.04592993836641441,0.001586151123046875,0.00014449805616742367,0.01,"(25,)",35,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 35}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
147,0.27271199226379395,0.0364376522656918,0.0015395641326904296,0.00015059168223548303,0.01,"(25,)",40,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 40}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
148,0.2770875930786133,0.03243437145823536,0.0014095306396484375,0.00023426418017452548,0.01,"(25,)",45,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 45}",0.5019685039370079,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.500394312124028,0.0007878597066759841,220,0.5009852216748768,0.49967969250480465,0.5,0.5004926108374385,0.5,0.5002315050034241,0.0004578102760392119
149,0.32306475639343263,0.014088753886153075,0.0012654304504394532,6.979772211517519e-05,0.01,"(25,)",50,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 50}",0.6267746742654611,0.6685544114677974,0.6577528770442156,0.6692408641227539,0.6370021283064761,0.6518618148133778,0.017124182066729055,151,0.6220538082607049,0.6569131193531997,0.6376792065210188,0.670240120170536,0.6489316357876791,0.6471635780186278,0.01643873609617591
150,0.3661658763885498,0.04144997764100458,0.0013272762298583984,0.00022393980805938298,0.01,"(25,)",55,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 55}",0.6740338723644199,0.6501514233797699,0.7635473450434079,0.6833434282253179,0.6180956724434985,0.6778517204030595,0.04841703121782191,129,0.6816534040671971,0.6495504649981223,0.7729218670613444,0.6800194393514325,0.6176095981275883,0.6803509547211369,0.05187740950088801
151,0.40331358909606935,0.07395673931676561,0.0014970779418945312,0.0001516927150431193,0.01,"(25,)",60,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'ica__n_components': 60}",0.5,0.5000000000000001,0.5,0.5019685039370078,0.4999999999999999,0.5003937007874015,0.0007874015748031037,224,0.4999999999999999,0.5,0.5,0.5,0.500492125984252,0.5000984251968503,0.00019685039370079816
152,0.1249079704284668,0.0007872746539219591,0.0012685298919677735,6.542400435063437e-05,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 2}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
153,0.1269362449645996,0.004832122177368721,0.0012263774871826172,5.20590447920199e-05,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 3}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5,0.5,0.5,0.5,0.5,4.965068306494546e-17
154,0.1466048240661621,0.0024403973651795927,0.001227569580078125,2.5421011347391898e-05,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'ica__n_components': 4}",0.5,0.5000000000000001,0.5,0.4999999999999999,0.4999999999999999,0.5,8.597524673505621e-17,235,0.4999999999999999,0.5004926108374383,0.5,0.5,0.5,0.5000985221674876,0.00019704433497534922
