,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
207,0.4032577991485596,0.04221075226469194,0.001955604553222656,0.00011686349743916187,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.9162605473548543,0.9343932969917222,0.924278215223097,0.9139309509388248,0.912399918921658,0.9202537848389608,0.008168943716519918,27,0.9449333712264749,0.9374317965936955,0.9389339282953016,0.9322096799134065,0.9490203508754231,0.9405058253808602,0.005879572257599006
208,0.32305264472961426,0.06278425603662915,0.0021870613098144533,0.0004006939104969677,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.915570815796363,0.9057338986472845,0.8960327074500302,0.9118715929739551,0.8973902908685516,0.9053255072729908,0.007711982514839914,103,0.9355737653151448,0.9133424639377941,0.9051403830435839,0.913415361505666,0.9386072046487463,0.9212158356901871,0.013340670263640537
209,0.19952645301818847,0.09962079032745617,0.0013380050659179688,8.995681802411993e-06,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.5933554181686369,0.6214314556834243,0.5767514637593377,0.625509792045225,0.5768521333738724,0.5987851778498244,0.02108261361980018,366,0.5931523935834281,0.6112173893834633,0.6232366520135192,0.6287879122578365,0.6089716994456411,0.6130732093367776,0.012388323585583783
210,0.2277066707611084,0.08227512760485213,0.0013695716857910155,3.444850638164591e-05,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.5464838794127717,0.5929133858267717,0.5855441146779728,0.5867857863920856,0.5090250329380763,0.5641620730316707,0.032075032203102045,376,0.5437571049640015,0.6111798360909231,0.6121098323355939,0.6040137842673794,0.5095200053468653,0.5761161126009526,0.04191763239108556
211,0.20709285736083985,0.09206330557110107,0.0013765335083007813,5.582836654122403e-05,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.6925559337052178,0.6464768826973551,0.6921259842519685,0.6862608520088834,0.6255650146954495,0.6686177381050077,0.027490800029046768,333,0.6664740431981812,0.6766992864874417,0.6851774945326824,0.6845302524906669,0.6523784092571389,0.6730518971932222,0.01235109279748273
212,0.356611967086792,0.16130543866683184,0.0013570308685302735,2.0972922306916365e-05,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.7284924582636889,0.7601958409045024,0.7335958005249342,0.7826266908944073,0.7988395662308706,0.7607282244357406,0.02722855806126933,301,0.7514588859416446,0.7406657977865647,0.7945569815988865,0.7934723541496389,0.7877300791436945,0.7735768197240859,0.02284142112192849
213,0.3826742172241211,0.13018286745596266,0.0015568733215332031,0.00018398642956680292,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.7698159373300844,0.7369876842317789,0.7331011508176862,0.7437209771855441,0.7462298570994222,0.74597844620254,0.012813478330541661,305,0.7883762788935205,0.740749740440478,0.7472022797057589,0.7442466146811284,0.7554323016237321,0.7552014430689237,0.017282763760689112
214,0.41404356956481936,0.07166029538289974,0.0014233589172363281,0.0001297741914496282,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.7789536218458627,0.775075711689885,0.7444074298405007,0.8113365636987683,0.7880510793554272,0.7795620559887255,0.021623675681028853,284,0.7786314260452192,0.780774923236652,0.7867105524752037,0.7898120126355784,0.7971611802448461,0.7866180189274998,0.0066226254906643
215,0.36283130645751954,0.11879071717895774,0.001402425765991211,5.414766756213928e-05,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.7976770646635922,0.7803856248738139,0.8141732283464567,0.8395820714718352,0.8137427789601702,0.8091071643109076,0.019655113331830933,229,0.8122884299608437,0.7911639311670238,0.8203516755395526,0.8259912964721995,0.8311560200154354,0.8161902706310109,0.013992091198759209
216,0.42101330757141114,0.1661057825535995,0.0014165878295898438,5.507533168008128e-05,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.8110538292687838,0.8320714718352514,0.7917423783565515,0.7856955380577427,0.8168946995033951,0.8074897694694895,0.016901281298017774,235,0.8187223695844386,0.8280390554242417,0.8140449314100157,0.7936247763370077,0.8332815250672143,0.8175425315645836,0.013737373616035843
217,0.21604456901550292,0.10947054959293755,0.0015612602233886718,0.00029798269377722834,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.8133093018104195,0.79457904300424,0.8106501110438116,0.8210882293559457,0.7695145434275869,0.8018418465850414,0.01830789768469757,245,0.822153277756726,0.8088515319534338,0.8495438379464975,0.8104773686187017,0.7899255726442267,0.8161903177839169,0.01961808656192496
218,0.40724782943725585,0.18362449568910455,0.0014157772064208984,6.182877344278302e-05,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 15}",0.7045834424149667,0.8703008277811429,0.8090954976781748,0.8166464768826972,0.840290868551738,0.8081412774983475,0.05605341669639407,233,0.7353795629657699,0.8824537763149175,0.8387086085400604,0.8425014910866154,0.8767859664963404,0.8351658810807407,0.05289999606924703
219,0.4168262481689453,0.10454803869733821,0.001465749740600586,1.2477654047255787e-05,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 20}",0.8819199710010672,0.8673228346456693,0.8812436906925095,0.8808298001211387,0.8664639708117969,0.8755608534544951,0.00708586389041306,173,0.8841575091575092,0.8835339857297487,0.9056550840531047,0.8680156398418344,0.9028686436616947,0.8888461724887783,0.013880080605852474
220,0.3575078010559082,0.05985312624966601,0.0014659881591796875,3.411149189097067e-05,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 25}",0.8954981170831905,0.8772562083585707,0.8961235614778921,0.8767110841913991,0.8836627140974966,0.8858540126326993,0.00849619349540092,152,0.9151983074396868,0.8982902206808191,0.9092270648788354,0.8914422673352626,0.8983610092460416,0.902503773916129,0.008527922145130184
221,0.3868286609649658,0.029540799277204002,0.0014601707458496093,2.565880199203394e-05,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 30}",0.9069063777513744,0.9174540682414698,0.8895315970119118,0.9063294972743791,0.8751697577784534,0.8990881157046771,0.014923086250775201,119,0.9217506631299736,0.918292871501469,0.9175042523581258,0.9174799531688353,0.9179145838272459,0.91858846479713,0.0016090558658546383
222,0.26289849281311034,0.10894077806780073,0.0015676498413085937,3.601222469624142e-05,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 35}",0.9068056870129084,0.8810115081768624,0.9138400969109629,0.9001514233797697,0.8635806222762744,0.8930912914845035,0.018353111752402732,128,0.9019751799924214,0.8957807771322539,0.9304623473016856,0.8894983321920078,0.8944325134806579,0.9024298300198053,0.014569964612211163
223,0.3589519500732422,0.07902160140411515,0.0015568733215332031,4.77675654373124e-05,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 40}",0.908285840868357,0.9043609933373714,0.9224005653139511,0.9236826165960024,0.9005422114117766,0.91185685035936,0.009463622127645585,71,0.9172697991663509,0.9120855331463034,0.9360533698557513,0.9284410965561423,0.9283425474282081,0.9244384692305513,0.008604110982607506
224,0.3604633331298828,0.06056139684902234,0.0015223503112792968,8.247215364720897e-06,0.001,"(50,)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 45}",0.9147803934994059,0.9219866747425802,0.9211185140318997,0.9165859075307893,0.8861204013377926,0.9121272788471774,0.013268660427967156,67,0.9286772135910066,0.9375555015573572,0.9333186065519451,0.9320373765711635,0.9177109237466394,0.9298599244036223,0.0067070516578268844
